SlimeVolley: 2024-02-15 20:04:20,504 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:04:20,504 [INFO] ==============================
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] ==============================
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:55,351 [INFO] use_for_loop=False
SlimeVolley: 2024-02-16 17:12:55,385 [INFO] Start to train for 500 iterations.
SlimeVolley: 2024-02-16 17:15:01,681 [INFO] [TEST] Iter=450, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:02,940 [INFO] Iter=460, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:04,376 [INFO] Iter=470, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:05,924 [INFO] Iter=480, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:07,378 [INFO] Iter=490, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:08,822 [INFO] [TEST] Iter=500, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:08,825 [INFO] Training done, best_score=0.0000
SlimeVolley: 2024-02-16 17:15:08,833 [INFO] Loaded model parameters from ./log/slimevolley.
SlimeVolley: 2024-02-16 17:15:08,833 [INFO] Start to test the parameters.
SlimeVolley: 2024-02-16 17:15:08,875 [INFO] [TEST] #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
